"","feelings_life","income_family","own_rent","average_hours_worked","income_1","income_2","income_3","income_4","income_5","income_6","own","rent","idk","work_hours_1","work_hours_2","work_hours_3","work_hours_4","work_hours_5","work_hours_6"
"19",10,"$75,000 to $99,999","Rented, even if no cash rent is paid","Don't know",0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
"20",9,"$125,000 and more","Owned by you or a member of this household, even if it i...","Don't know",0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
"21",10,"$125,000 and more","Owned by you or a member of this household, even if it i...","Don't know",0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
"22",8,"$25,000 to $49,999","Rented, even if no cash rent is paid","30.0 to 40.0 hours",0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
"23",8,"$75,000 to $99,999","Owned by you or a member of this household, even if it i...","30.0 to 40.0 hours",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
"24",7,"$125,000 and more","Rented, even if no cash rent is paid","Don't know",0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
"25",8,"$25,000 to $49,999","Rented, even if no cash rent is paid","Don't know",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
"26",9,"$75,000 to $99,999","Owned by you or a member of this household, even if it i...","Don't know",0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
"27",7,"$100,000 to $ 124,999","Owned by you or a member of this household, even if it i...","50.1 hours and more",0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
"28",2,"$125,000 and more","Owned by you or a member of this household, even if it i...","Don't know",0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
"29",7,"$25,000 to $49,999","Owned by you or a member of this household, even if it i...","40.1 to 50.0 hours",0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
"30",9,"$50,000 to $74,999","Owned by you or a member of this household, even if it i...","30.0 to 40.0 hours",0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
"31",8,"$125,000 and more","Owned by you or a member of this household, even if it i...","0.1 to 29.9 hours",0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
"32",7,"$25,000 to $49,999","Rented, even if no cash rent is paid","Don't know",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
"33",8,"Less than $25,000","Rented, even if no cash rent is paid","0.1 to 29.9 hours",1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"34",10,"$25,000 to $49,999","Owned by you or a member of this household, even if it i...","Don't know",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
"35",8,"$50,000 to $74,999","Owned by you or a member of this household, even if it i...","40.1 to 50.0 hours",0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
"36",10,"$25,000 to $49,999","Rented, even if no cash rent is paid","Don't know",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
"37",7,"$75,000 to $99,999","Owned by you or a member of this household, even if it i...","30.0 to 40.0 hours",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
"38",8,"$50,000 to $74,999","Owned by you or a member of this household, even if it i...","Don't know",0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"39",5,"$125,000 and more","Owned by you or a member of this household, even if it i...","0.1 to 29.9 hours",0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
"40",10,"$75,000 to $99,999","Owned by you or a member of this household, even if it i...","50.1 hours and more",0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
"41",10,"$25,000 to $49,999","Owned by you or a member of this household, even if it i...","Don't know",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
"42",9,"$100,000 to $ 124,999","Owned by you or a member of this household, even if it i...","30.0 to 40.0 hours",0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
"43",8,"$25,000 to $49,999","Rented, even if no cash rent is paid","30.0 to 40.0 hours",0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
"44",10,"$100,000 to $ 124,999","Owned by you or a member of this household, even if it i...","40.1 to 50.0 hours",0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
"45",8,"$50,000 to $74,999","Owned by you or a member of this household, even if it i...","40.1 to 50.0 hours",0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
"46",10,"$125,000 and more","Owned by you or a member of this household, even if it i...","50.1 hours and more",0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
"47",7,"$50,000 to $74,999","Owned by you or a member of this household, even if it i...","30.0 to 40.0 hours",0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
"48",8,"$100,000 to $ 124,999","Owned by you or a member of this household, even if it i...","30.0 to 40.0 hours",0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
"49",8,"$25,000 to $49,999","Rented, even if no cash rent is paid","Don't know",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
"50",9,"Less than $25,000","Rented, even if no cash rent is paid","30.0 to 40.0 hours",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"51",8,"$75,000 to $99,999","Owned by you or a member of this household, even if it i...","0.1 to 29.9 hours",0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
"52",8,"Less than $25,000","Owned by you or a member of this household, even if it i...","40.1 to 50.0 hours",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"53",5,"$50,000 to $74,999","Rented, even if no cash rent is paid","30.0 to 40.0 hours",0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
"54",9,"$125,000 and more","Owned by you or a member of this household, even if it i...","30.0 to 40.0 hours",0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
"55",9,"$100,000 to $ 124,999","Owned by you or a member of this household, even if it i...","Don't know",0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
"56",7,"$75,000 to $99,999","Owned by you or a member of this household, even if it i...","30.0 to 40.0 hours",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
"57",7,"$100,000 to $ 124,999","Owned by you or a member of this household, even if it i...","30.0 to 40.0 hours",0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
"58",10,"$75,000 to $99,999","Owned by you or a member of this household, even if it i...","30.0 to 40.0 hours",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
"59",8,"$75,000 to $99,999","Owned by you or a member of this household, even if it i...","30.0 to 40.0 hours",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
"60",6,"$75,000 to $99,999","Owned by you or a member of this household, even if it i...","30.0 to 40.0 hours",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
"61",10,"$100,000 to $ 124,999","Owned by you or a member of this household, even if it i...","30.0 to 40.0 hours",0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
"62",8,"Less than $25,000","Rented, even if no cash rent is paid","30.0 to 40.0 hours",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"63",6,"$25,000 to $49,999","Owned by you or a member of this household, even if it i...","0.1 to 29.9 hours",0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
"64",9,"$125,000 and more","Owned by you or a member of this household, even if it i...","0.1 to 29.9 hours",0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
"65",7,"$25,000 to $49,999","Rented, even if no cash rent is paid","Don't know",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
"66",9,"$25,000 to $49,999","Owned by you or a member of this household, even if it i...","Don't know",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
"67",9,"$125,000 and more","Owned by you or a member of this household, even if it i...","0.1 to 29.9 hours",0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
"68",5,"$50,000 to $74,999","Owned by you or a member of this household, even if it i...","Don't know",0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"69",10,"$75,000 to $99,999","Owned by you or a member of this household, even if it i...","30.0 to 40.0 hours",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
"70",6,"Less than $25,000","Owned by you or a member of this household, even if it i...","Don't know",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"71",9,"$75,000 to $99,999","Owned by you or a member of this household, even if it i...","Don't know",0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
"72",8,"$100,000 to $ 124,999","Owned by you or a member of this household, even if it i...","30.0 to 40.0 hours",0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
"73",6,"$25,000 to $49,999","Rented, even if no cash rent is paid","30.0 to 40.0 hours",0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
"74",10,"Less than $25,000","Owned by you or a member of this household, even if it i...","30.0 to 40.0 hours",1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"75",10,"Less than $25,000","Owned by you or a member of this household, even if it i...","0.1 to 29.9 hours",1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"76",10,"$125,000 and more","Owned by you or a member of this household, even if it i...","30.0 to 40.0 hours",0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
"77",8,"$125,000 and more","Rented, even if no cash rent is paid","Don't know",0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
"78",9,"$75,000 to $99,999","Owned by you or a member of this household, even if it i...","0.1 to 29.9 hours",0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
"79",6,"$125,000 and more","Owned by you or a member of this household, even if it i...","30.0 to 40.0 hours",0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
"80",9,"$25,000 to $49,999","Owned by you or a member of this household, even if it i...","40.1 to 50.0 hours",0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
"81",8,"$75,000 to $99,999","Owned by you or a member of this household, even if it i...","30.0 to 40.0 hours",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
"82",7,"$75,000 to $99,999","Owned by you or a member of this household, even if it i...","40.1 to 50.0 hours",0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
"83",8,"Less than $25,000","Owned by you or a member of this household, even if it i...","30.0 to 40.0 hours",1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"84",8,"$100,000 to $ 124,999","Rented, even if no cash rent is paid","30.0 to 40.0 hours",0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
"85",8,"$100,000 to $ 124,999","Owned by you or a member of this household, even if it i...","0.1 to 29.9 hours",0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
"86",8,"$50,000 to $74,999","Owned by you or a member of this household, even if it i...","0.1 to 29.9 hours",0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
"87",8,"$125,000 and more","Owned by you or a member of this household, even if it i...","0.1 to 29.9 hours",0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
"88",7,"Less than $25,000","Rented, even if no cash rent is paid","Don't know",1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"89",7,"$100,000 to $ 124,999","Owned by you or a member of this household, even if it i...","30.0 to 40.0 hours",0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
"90",4,"Less than $25,000","Owned by you or a member of this household, even if it i...","Don't know",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"91",7,"$75,000 to $99,999","Owned by you or a member of this household, even if it i...","30.0 to 40.0 hours",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
"92",7,"Less than $25,000","Owned by you or a member of this household, even if it i...","0.1 to 29.9 hours",1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"93",6,"Less than $25,000","Owned by you or a member of this household, even if it i...","Don't know",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"94",8,"$50,000 to $74,999","Owned by you or a member of this household, even if it i...","Don't know",0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"95",5,"$25,000 to $49,999","Owned by you or a member of this household, even if it i...","Don't know",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
"96",10,"$50,000 to $74,999","Owned by you or a member of this household, even if it i...","30.0 to 40.0 hours",0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
"97",0,"$100,000 to $ 124,999","Owned by you or a member of this household, even if it i...","Don't know",0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
"98",7,"$50,000 to $74,999","Rented, even if no cash rent is paid","30.0 to 40.0 hours",0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
"99",9,"$50,000 to $74,999","Owned by you or a member of this household, even if it i...","Don't know",0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"100",10,"$100,000 to $ 124,999","Owned by you or a member of this household, even if it i...","Don't know",0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
"101",8,"$25,000 to $49,999","Rented, even if no cash rent is paid","30.0 to 40.0 hours",0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
"102",8,"$25,000 to $49,999","Owned by you or a member of this household, even if it i...","40.1 to 50.0 hours",0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
"103",9,"$25,000 to $49,999","Rented, even if no cash rent is paid","Don't know",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
"104",6,"$75,000 to $99,999","Rented, even if no cash rent is paid","50.1 hours and more",0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
"105",4,"$125,000 and more","Owned by you or a member of this household, even if it i...","Don't know",0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
"106",10,"$125,000 and more","Don't know","30.0 to 40.0 hours",0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
"107",8,"$125,000 and more","Rented, even if no cash rent is paid","30.0 to 40.0 hours",0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
"108",10,"Less than $25,000","Rented, even if no cash rent is paid","0.1 to 29.9 hours",1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"109",8,"$75,000 to $99,999","Owned by you or a member of this household, even if it i...","30.0 to 40.0 hours",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
"110",7,"$125,000 and more","Owned by you or a member of this household, even if it i...","30.0 to 40.0 hours",0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
"111",9,"Less than $25,000","Owned by you or a member of this household, even if it i...","Don't know",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"112",7,"$75,000 to $99,999","Rented, even if no cash rent is paid","30.0 to 40.0 hours",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"113",10,"$75,000 to $99,999","Owned by you or a member of this household, even if it i...","Don't know",0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
"114",8,"$125,000 and more","Owned by you or a member of this household, even if it i...","50.1 hours and more",0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
"115",8,"$75,000 to $99,999","Owned by you or a member of this household, even if it i...","30.0 to 40.0 hours",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
"116",9,"$25,000 to $49,999","Rented, even if no cash rent is paid","30.0 to 40.0 hours",0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
"117",9,"$25,000 to $49,999","Rented, even if no cash rent is paid","30.0 to 40.0 hours",0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
"118",8,"$75,000 to $99,999","Owned by you or a member of this household, even if it i...","30.0 to 40.0 hours",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
"119",10,"$100,000 to $ 124,999","Owned by you or a member of this household, even if it i...","30.0 to 40.0 hours",0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
"120",10,"$75,000 to $99,999","Owned by you or a member of this household, even if it i...","30.0 to 40.0 hours",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
"121",6,"$25,000 to $49,999","Rented, even if no cash rent is paid","Don't know",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
"122",10,"$25,000 to $49,999","Owned by you or a member of this household, even if it i...","Don't know",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
"123",9,"$75,000 to $99,999","Rented, even if no cash rent is paid","30.0 to 40.0 hours",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"124",8,"Less than $25,000","Rented, even if no cash rent is paid","Don't know",1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"125",10,"$75,000 to $99,999","Rented, even if no cash rent is paid","30.0 to 40.0 hours",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"126",2,"$50,000 to $74,999","Rented, even if no cash rent is paid","50.1 hours and more",0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
"127",9,"$125,000 and more","Owned by you or a member of this household, even if it i...","30.0 to 40.0 hours",0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
"128",10,"$100,000 to $ 124,999","Owned by you or a member of this household, even if it i...","30.0 to 40.0 hours",0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
"129",9,"$75,000 to $99,999","Owned by you or a member of this household, even if it i...","Don't know",0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
"130",9,"$125,000 and more","Owned by you or a member of this household, even if it i...","30.0 to 40.0 hours",0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
"131",8,"$25,000 to $49,999","Owned by you or a member of this household, even if it i...","Don't know",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
"132",8,"$25,000 to $49,999","Rented, even if no cash rent is paid","40.1 to 50.0 hours",0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
"133",10,"$25,000 to $49,999","Owned by you or a member of this household, even if it i...","Don't know",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
"134",8,"$75,000 to $99,999","Rented, even if no cash rent is paid","30.0 to 40.0 hours",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"135",0,"Less than $25,000","Rented, even if no cash rent is paid","Don't know",1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"136",8,"$75,000 to $99,999","Owned by you or a member of this household, even if it i...","30.0 to 40.0 hours",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
"137",9,"$125,000 and more","Owned by you or a member of this household, even if it i...","40.1 to 50.0 hours",0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
"138",10,"$125,000 and more","Owned by you or a member of this household, even if it i...","Don't know",0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
"139",6,"$25,000 to $49,999","Owned by you or a member of this household, even if it i...","0.1 to 29.9 hours",0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
"140",8,"$25,000 to $49,999","Owned by you or a member of this household, even if it i...","Don't know",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
"141",8,"$25,000 to $49,999","Owned by you or a member of this household, even if it i...","50.1 hours and more",0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
"142",7,"$75,000 to $99,999","Owned by you or a member of this household, even if it i...","Don't know",0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
"143",8,"$100,000 to $ 124,999","Owned by you or a member of this household, even if it i...","30.0 to 40.0 hours",0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
"144",8,"$50,000 to $74,999","Owned by you or a member of this household, even if it i...","Don't know",0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"145",6,"$125,000 and more","Owned by you or a member of this household, even if it i...","Don't know",0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
"146",7,"$125,000 and more","Rented, even if no cash rent is paid","0.1 to 29.9 hours",0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
"147",8,"$125,000 and more","Owned by you or a member of this household, even if it i...","0.1 to 29.9 hours",0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
"148",7,"$125,000 and more","Owned by you or a member of this household, even if it i...","30.0 to 40.0 hours",0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
"149",8,"$100,000 to $ 124,999","Owned by you or a member of this household, even if it i...","30.0 to 40.0 hours",0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
"150",10,"Less than $25,000","Rented, even if no cash rent is paid","Don't know",1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"151",9,"Less than $25,000","Owned by you or a member of this household, even if it i...","50.1 hours and more",1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"152",6,"$125,000 and more","Owned by you or a member of this household, even if it i...","0.1 to 29.9 hours",0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
"153",4,"Less than $25,000","Rented, even if no cash rent is paid","0.1 to 29.9 hours",1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"154",10,"$75,000 to $99,999","Rented, even if no cash rent is paid","0.1 to 29.9 hours",0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
"155",10,"$25,000 to $49,999","Rented, even if no cash rent is paid","Don't know",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
"156",9,"$25,000 to $49,999","Owned by you or a member of this household, even if it i...","0.1 to 29.9 hours",0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
"157",6,"$25,000 to $49,999","Rented, even if no cash rent is paid","30.0 to 40.0 hours",0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
"158",5,"$25,000 to $49,999","Rented, even if no cash rent is paid","30.0 to 40.0 hours",0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
"159",9,"$125,000 and more","Owned by you or a member of this household, even if it i...","Don't know",0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
"160",8,"$75,000 to $99,999","Rented, even if no cash rent is paid","30.0 to 40.0 hours",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"161",10,"$50,000 to $74,999","Owned by you or a member of this household, even if it i...","0.1 to 29.9 hours",0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
"162",10,"$125,000 and more","Owned by you or a member of this household, even if it i...","30.0 to 40.0 hours",0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
"163",10,"$50,000 to $74,999","Owned by you or a member of this household, even if it i...","30.0 to 40.0 hours",0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
"164",9,"$125,000 and more","Owned by you or a member of this household, even if it i...","30.0 to 40.0 hours",0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
"165",7,"$125,000 and more","Owned by you or a member of this household, even if it i...","30.0 to 40.0 hours",0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
"166",8,"$25,000 to $49,999","Owned by you or a member of this household, even if it i...","Don't know",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
"167",9,"$125,000 and more","Owned by you or a member of this household, even if it i...","0.1 to 29.9 hours",0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
"168",10,"$125,000 and more","Owned by you or a member of this household, even if it i...","30.0 to 40.0 hours",0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
"169",1,"Less than $25,000","Rented, even if no cash rent is paid","Don't know",1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"170",10,"$50,000 to $74,999","Rented, even if no cash rent is paid","Don't know",0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
"171",7,"Less than $25,000","Rented, even if no cash rent is paid","Don't know",1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"172",10,"$25,000 to $49,999","Owned by you or a member of this household, even if it i...","30.0 to 40.0 hours",0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
"173",9,"$25,000 to $49,999","Owned by you or a member of this household, even if it i...","Don't know",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
"174",10,"$25,000 to $49,999","Owned by you or a member of this household, even if it i...","Don't know",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
"175",10,"$75,000 to $99,999","Owned by you or a member of this household, even if it i...","Don't know",0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
"176",9,"$25,000 to $49,999","Owned by you or a member of this household, even if it i...","Don't know",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
"177",7,"$75,000 to $99,999","Owned by you or a member of this household, even if it i...","30.0 to 40.0 hours",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
"178",7,"$50,000 to $74,999","Owned by you or a member of this household, even if it i...","0.1 to 29.9 hours",0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
"179",5,"$25,000 to $49,999","Rented, even if no cash rent is paid","40.1 to 50.0 hours",0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
"180",8,"$50,000 to $74,999","Owned by you or a member of this household, even if it i...","30.0 to 40.0 hours",0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
"181",5,"$25,000 to $49,999","Rented, even if no cash rent is paid","Don't know",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
"182",9,"$125,000 and more","Owned by you or a member of this household, even if it i...","30.0 to 40.0 hours",0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
"183",9,"$50,000 to $74,999","Owned by you or a member of this household, even if it i...","0.1 to 29.9 hours",0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
"184",10,"Less than $25,000","Rented, even if no cash rent is paid","40.1 to 50.0 hours",1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"185",9,"$125,000 and more","Owned by you or a member of this household, even if it i...","Don't know",0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
"186",10,"$75,000 to $99,999","Owned by you or a member of this household, even if it i...","30.0 to 40.0 hours",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
"187",9,"$50,000 to $74,999","Owned by you or a member of this household, even if it i...","Don't know",0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"188",9,"$25,000 to $49,999","Owned by you or a member of this household, even if it i...","30.0 to 40.0 hours",0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
